To Kill a Mockingbird, Harper Lee, Not borrowed
1984, George Orwell, Not borrowed
Pride and Prejudice, Jane Austen, Not borrowed
The Great Gatsby, F. Scott Fitzgerald, Not borrowed
Moby-Dick, Herman Melville, Not borrowed
War and Peace, Leo Tolstoy, Not borrowed
Crime and Punishment, Fyodor Dostoevsky, Not borrowed
The Catcher in the Rye, J.D. Salinger, Not borrowed
The Lord of the Rings, J.R.R. Tolkien, Not borrowed
Harry Potter and the Sorcerer’s Stone, J.K. Rowling, Not borrowed
The Hobbit, J.R.R. Tolkien, Not borrowed
Brave New World, Aldous Huxley, Not borrowed
Wuthering Heights, Emily Brontë, Not borrowed
Jane Eyre, Charlotte Brontë, Not borrowed
Les Misérables, Victor Hugo, Not borrowed
The Picture of Dorian Gray, Oscar Wilde, Not borrowed
The Alchemist, Paulo Coelho, Not borrowed
One Hundred Years of Solitude, Gabriel García Márquez, Not borrowed
The Brothers Karamazov, Fyodor Dostoevsky, Not borrowed
A Tale of Two Cities, Charles Dickens, Not borrowed
Great Expectations, Charles Dickens, Not borrowed
Anna Karenina, Leo Tolstoy, Not borrowed
Dracula, Bram Stoker, Not borrowed
Frankenstein, Mary Shelley, Not borrowed
Fahrenheit 451, Ray Bradbury, Not borrowed
The Little Prince, Antoine de Saint-Exupéry, Not borrowed
The Grapes of Wrath, John Steinbeck, Not borrowed
Of Mice and Men, John Steinbeck, Not borrowed
Don Quixote, Miguel de Cervantes, Not borrowed
The Old Man and the Sea, Ernest Hemingway, Not borrowed
For Whom the Bell Tolls, Ernest Hemingway, Not borrowed
The Sun Also Rises, Ernest Hemingway, Not borrowed
Catch-22, Joseph Heller, Not borrowed
Slaughterhouse-Five, Kurt Vonnegut, Not borrowed
The Road, Cormac McCarthy, Not borrowed
Beloved, Toni Morrison, Not borrowed
The Handmaid’s Tale, Margaret Atwood, Not borrowed
The Book Thief, Markus Zusak, Not borrowed
The Kite Runner, Khaled Hosseini, Not borrowed
A Thousand Splendid Suns, Khaled Hosseini, Not borrowed
The Night Circus, Erin Morgenstern, Not borrowed
Shōgun, James Clavell, Not borrowed
Memoirs of a Geisha, Arthur Golden, Not borrowed
The Help, Kathryn Stockett, Not borrowed
Life of Pi, Yann Martel, Not borrowed
The Girl with the Dragon Tattoo, Stieg Larsson, Not borrowed
The Da Vinci Code, Dan Brown, Not borrowed
Angels & Demons, Dan Brown, Not borrowed
Inferno, Dan Brown, Not borrowed
Gone with the Wind, Margaret Mitchell, Not borrowed
The Secret Garden, Frances Hodgson Burnett, Not borrowed
Little Women, Louisa May Alcott, Not borrowed
Charlotte’s Web, E.B. White, Not borrowed
Anne of Green Gables, L.M. Montgomery, Not borrowed
The Chronicles of Narnia, C.S. Lewis, Not borrowed
The Outsiders, S.E. Hinton, Not borrowed
The Fault in Our Stars, John Green, Not borrowed
Looking for Alaska, John Green, Not borrowed
A Wrinkle in Time, Madeleine L’Engle, Not borrowed
The Giver, Lois Lowry, Not borrowed
Dune, Frank Herbert, Not borrowed
The Hitchhiker’s Guide to the Galaxy, Douglas Adams, Not borrowed
Ender’s Game, Orson Scott Card, Not borrowed
Foundation, Isaac Asimov, Not borrowed
Neuromancer, William Gibson, Not borrowed
The Stand, Stephen King, Not borrowed
It, Stephen King, Not borrowed
The Shining, Stephen King, Not borrowed
Misery, Stephen King, Not borrowed
The Green Mile, Stephen King, Not borrowed
The Dark Tower, Stephen King, Not borrowed
The Hunger Games, Suzanne Collins, Not borrowed
Catching Fire, Suzanne Collins, Not borrowed
Mockingjay, Suzanne Collins, Not borrowed
Divergent, Veronica Roth, Not borrowed
The Maze Runner, James Dashner, Not borrowed
Ready Player One, Ernest Cline, Not borrowed
The Shadow of the Wind, Carlos Ruiz Zafón, Not borrowed
The Name of the Wind, Patrick Rothfuss, Not borrowed
The Lies of Locke Lamora, Scott Lynch, Not borrowed
American Gods, Neil Gaiman, Not borrowed
Good Omens, Neil Gaiman & Terry Pratchett, Not borrowed
The Midnight Library, Matt Haig, Not borrowed
Circe, Madeline Miller, Not borrowed
The Song of Achilles, Madeline Miller, Not borrowed
Where the Crawdads Sing, Delia Owens, Not borrowed
Verity, Colleen Hoover, Not borrowed
It Ends With Us, Colleen Hoover, Not borrowed
Atomic Habits, James Clear, Not borrowed
Sapiens, Yuval Noah Harari, Not borrowed
Educated, Tara Westover, Not borrowed
Becoming, Michelle Obama, Not borrowed
The Power of Now, Eckhart Tolle, Not borrowed
The 5 AM Club, Robin Sharma, Not borrowed
Rich Dad Poor Dad, Robert Kiyosaki, Not borrowed
Think and Grow Rich, Napoleon Hill, Not borrowed
The Subtle Art of Not Giving a F*ck, Mark Manson, Not borrowed
